capability_id,name_zh,name_en,category,definition,scope,aliases
CAP-AGENT-WORKFLOW,Agent工作流与规划,Agent workflow and planning,agent,将模型输出纳入可执行的业务任务或工具循环,任务拆解;工作流;规划;编排,规划;任务分解;workflow;orchestration
CAP-TOOL-GOVERNANCE,工具调用与权限治理,Tool execution and governance,agent,工具执行受权限策略和后端边界控制,工具调用;allow/ask/deny;服务端工具,function calling;tool policy;permission
CAP-HUMAN-IN-THE-LOOP,人工审批与高风险动作,Human-in-the-loop approvals,agent,高风险 Agent 动作在执行前经过可信人工决策,审批门;人工复核;动作授权,HITL;approval gate;human review
CAP-TRACE-AUDIT,Trace与审计,Trace and auditability,agent,记录运行、工具、证据、策略或动作的可审查路径,append-only trace;audit;provenance,trace;audit trail;provenance
CAP-EVAL,Agent评测与行为回归,Agent evaluation and regression,agent,对结果和执行行为进行可复现的离线评测,确定性评分;行为回归;baseline,eval;regression;behavioral test
CAP-RAG,RAG与向量检索,RAG and vector retrieval,agent,使用检索或向量数据库为模型提供外部知识,向量检索;知识库;rerank,knowledge base;retrieval;vector database
CAP-MODEL-INTEGRATION,模型服务集成,Model service integration,agent,通过明确的 provider boundary 调用模型并处理模型输出,OpenAI兼容接口;模型循环;provider,LLM API;model provider;prompt
CAP-CONTEXT,上下文工程与压缩,Context engineering and compaction,agent,维护有界 observation、prompt projection 或上下文压缩,上下文投影;记忆边界;压缩,context;memory;compaction;prompt assembly
CAP-MULTI-AGENT,多Agent协作,Multi-agent coordination,agent,通过 child session、teammate 或任务图协调多个 Agent 执行者,协作;mailbox;TaskGraph,multi-agent;teammate;delegation
CAP-MCP,MCP与插件信任,MCP and plugin trust,agent,对 MCP 工具或插件进行接入、信任和生命周期控制,MCP adapter;plugin preflight;session trust,MCP;plugin;skills
CAP-VERIFIER-COMPLETION,验证门与完成协议,Verifier-gated completion,agent,候选完成必须满足待办、证据、Git 和 verifier 约束,CompletionGate;verification receipt,completion gate;verifier;receipts
CAP-WORKTREE,Worktree隔离,Git Worktree isolation,agent,将可变任务隔离到独立 Git Worktree 并记录来源,worktree;source fingerprint,git worktree;workspace isolation
CAP-ENGINEERING-PYTHON,Python与FastAPI,Python and FastAPI,engineering,使用 Python/FastAPI 构建 API 和后端边界,API;异步服务;依赖管理,Python;FastAPI;pytest
CAP-ENGINEERING-TYPESCRIPT,TypeScript与Node,TypeScript and Node.js,engineering,使用 TypeScript/Node 构建 Runtime 或服务,TypeScript;Node.js;CLI,TypeScript;Node;JavaScript
CAP-ENGINEERING-FULLSTACK,全栈产品交付,Full-stack product delivery,engineering,将前端、后端、数据库和 Agent 能力串成可运行产品,Next.js;Workbench;API;DB,full-stack;React;Next.js
CAP-POSTGRES-TRANSACTIONS,Postgres与事务一致性,Postgres and transaction consistency,engineering,使用数据库事务、锁和约束保持状态与审计一致,Postgres;row lock;atomicity,PostgreSQL;transactions;concurrency
CAP-API-SYSTEM-DESIGN,API与系统边界,API and system design,engineering,以清晰接口分离 UI、服务、运行时和持久化责任,边界;状态;服务接口,API design;system design;boundaries
CAP-DOCKER-CI,容器化与CI,Containerization and CI,engineering,提供可复现容器运行、迁移、种子和 CI 验证,Compose;Dockerfile;GitHub Actions,Docker;Compose;CI
CAP-OBSERVABILITY,运行可见性与恢复,Observability and recovery,engineering,提供运行状态、错误、重试或恢复所需的可观察证据,health;retry;recovery,observability;resilience;recovery
CAP-JAVA-SPRING,Java与Spring,Java and Spring,engineering,使用 Java/Spring 构建 AI 后端服务,Java;Spring Boot,Java;Spring;Spring Boot
CAP-CLOUD-PLATFORM,云原生与托管平台,Cloud platform and hosted control plane,engineering,面向云部署、分布式 worker 或托管控制平面交付, Kubernetes;hosted;HA,Kubernetes;cloud-native;hosted platform
