evidence_id,claim_id,evidence_type,repository,commit_sha,path,locator,verification_command,expected_observation,public_url
MD-WORKFLOW-SPEC,MD-WORKFLOW-01,spec,meterdesk,f9dee13,docs/specs/product-scope.md,Product Thesis and Golden Path,git show f9dee13:docs/specs/product-scope.md,Ticket-first governed investigation path is specified,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/docs/specs/product-scope.md
MD-WORKFLOW-TEST,MD-WORKFLOW-01,test,meterdesk,f9dee13,apps/api/tests/test_m3_agent_loop.py,governed agent loop tests,pytest -q apps/api/tests/test_m3_agent_loop.py,Agent loop and governed path tests pass,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/tests/test_m3_agent_loop.py
MD-TOOLS-SOURCE,MD-TOOLS-01,implementation,meterdesk,f9dee13,apps/api/src/meterdesk_api/agent/governance.py,governance kernel,python -m compileall apps/api/src,Backend governance owns tool boundaries,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/src/meterdesk_api/agent/governance.py
MD-TOOLS-TEST,MD-TOOLS-01,test,meterdesk,f9dee13,apps/api/tests/test_governance_kernel.py,governance kernel tests,pytest -q apps/api/tests/test_governance_kernel.py,Permission and tool governance assertions pass,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/tests/test_governance_kernel.py
MD-APPROVAL-SOURCE,MD-APPROVAL-01,implementation,meterdesk,f9dee13,apps/api/src/meterdesk_api/agent/approvals.py,approval command boundary,python -m compileall apps/api/src,Financial actions create approval requests,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/src/meterdesk_api/agent/approvals.py
MD-APPROVAL-TEST,MD-APPROVAL-01,test,meterdesk,f9dee13,apps/api/tests/test_approval_audit.py,approval audit tests,pytest -q apps/api/tests/test_approval_audit.py,Approval actor and audit behavior pass,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/tests/test_approval_audit.py
MD-TRACE-SPEC,MD-TRACE-01,spec,meterdesk,f9dee13,docs/specs/agent-governance.md,Trace Rules,git show f9dee13:docs/specs/agent-governance.md,Trace and evidence recording rules are specified,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/docs/specs/agent-governance.md
MD-TRACE-TEST,MD-TRACE-01,test,meterdesk,f9dee13,apps/api/tests/test_m7_run_compliance.py,run compliance tests,pytest -q apps/api/tests/test_m7_run_compliance.py,Run trace compliance assertions pass,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/tests/test_m7_run_compliance.py
MD-EVAL-SOURCE,MD-EVAL-01,implementation,meterdesk,f9dee13,apps/api/src/meterdesk_api/eval/judge.py,deterministic judge,python -m compileall apps/api/src,Eval judge scores required dimensions,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/src/meterdesk_api/eval/judge.py
MD-EVAL-TEST,MD-EVAL-01,test,meterdesk,f9dee13,apps/api/tests/test_m4_eval_lab.py,eval lab tests,pytest -q apps/api/tests/test_m4_eval_lab.py,Eval Lab deterministic checks pass,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/tests/test_m4_eval_lab.py
MD-MODEL-SOURCE,MD-MODEL-01,implementation,meterdesk,f9dee13,apps/api/src/meterdesk_api/agent/provider.py,model provider boundary,python -m compileall apps/api/src,Provider boundary drives one live model path,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/src/meterdesk_api/agent/provider.py
MD-MODEL-TEST,MD-MODEL-01,test,meterdesk,f9dee13,apps/api/tests/test_m3_agent_loop.py,provider behavior tests,pytest -q apps/api/tests/test_m3_agent_loop.py,Model loop behavior is covered,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/tests/test_m3_agent_loop.py
MD-PYTHON-SOURCE,MD-PYTHON-01,implementation,meterdesk,f9dee13,apps/api/src/meterdesk_api/main.py,FastAPI application,python -m compileall apps/api/src,FastAPI application imports successfully,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/src/meterdesk_api/main.py
MD-PYTHON-TEST,MD-PYTHON-01,test,meterdesk,f9dee13,apps/api/tests/test_health.py,API health tests,pytest -q apps/api/tests/test_health.py,API health contract passes,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/tests/test_health.py
MD-FULLSTACK-SOURCE,MD-FULLSTACK-01,implementation,meterdesk,f9dee13,apps/web/src/app/page.tsx,workbench page,git show f9dee13:apps/web/src/app/page.tsx,Workbench frontend exists,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/web/src/app/page.tsx
MD-FULLSTACK-TEST,MD-FULLSTACK-01,test,meterdesk,f9dee13,apps/web/src/components/meterdesk-shell.test.tsx,workbench shell tests,npm test -- --run apps/web/src/components/meterdesk-shell.test.tsx,Workbench UI behavior is covered,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/web/src/components/meterdesk-shell.test.tsx
MD-POSTGRES-SOURCE,MD-POSTGRES-01,implementation,meterdesk,f9dee13,apps/api/src/meterdesk_api/workflows.py,workflow atomic commands,python -m compileall apps/api/src,Workflow commands own atomic state transitions,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/src/meterdesk_api/workflows.py
MD-POSTGRES-TEST,MD-POSTGRES-01,test,meterdesk,f9dee13,apps/api/tests/test_p0_03_postgres_atomicity.py,atomicity evidence,pytest -m postgres -q apps/api/tests/test_p0_03_postgres_atomicity.py,Atomicity rollback evidence passes,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/tests/test_p0_03_postgres_atomicity.py
MD-POSTGRES-CONCURRENCY,MD-POSTGRES-01,test,meterdesk,f9dee13,apps/api/tests/test_p0_03_postgres_concurrency.py,concurrency evidence,pytest -m postgres -q apps/api/tests/test_p0_03_postgres_concurrency.py,Postgres concurrency evidence passes,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/tests/test_p0_03_postgres_concurrency.py
MD-API-SPEC,MD-API-01,spec,meterdesk,f9dee13,docs/specs/system-architecture.md,Application Stack and Boundaries,git show f9dee13:docs/specs/system-architecture.md,UI backend mock and durable state boundaries are documented,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/docs/specs/system-architecture.md
MD-API-TEST,MD-API-01,test,meterdesk,f9dee13,apps/api/tests/test_m2_db_integration.py,API integration tests,pytest -q apps/api/tests/test_m2_db_integration.py,Backend integration contracts pass,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/apps/api/tests/test_m2_db_integration.py
MD-DOCKER-SOURCE,MD-DOCKER-01,implementation,meterdesk,f9dee13,compose.yaml,Compose runtime,git show f9dee13:compose.yaml,Compose runtime definition exists,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/compose.yaml
MD-DOCKER-TEST,MD-DOCKER-01,smoke,meterdesk,f9dee13,scripts/container-smoke.sh,container smoke,./scripts/container-smoke.sh,Container health and seeded smoke are defined,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/scripts/container-smoke.sh
MD-ASYNC-BOUNDARY,MD-ASYNC-GAP-01,boundary,meterdesk,f9dee13,docs/specs/hardening/p0-03-workflow-state-consistency.md,P0-04 boundary,git show f9dee13:docs/specs/hardening/p0-03-workflow-state-consistency.md,P0-04 queue worker lease checkpoint and crash recovery remain future,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/docs/specs/hardening/p0-03-workflow-state-consistency.md
MD-RAG-BOUNDARY,MD-RAG-GAP-01,boundary,meterdesk,f9dee13,README.md,Retrieval and exclusions,git show f9dee13:README.md,README explicitly excludes vector search and large-scale RAG,https://github.com/ZophiaWong/meter-desk/blob/f9dee13/README.md
