bullet_id,project,role_track,language,claim_ids,min_evidence_level,display_order,text,review_required,demo_evidence_ids
MD-APP-01,meterdesk,applied-agent,zh,MD-WORKFLOW-01;MD-APPROVAL-01,verified_direct,1,使用Next.js、FastAPI和Postgres构建ticket-first账单支持工作台；Agent通过后端受控工具调查证据，高风险退款或credit请求必须经过人工审批。,false,MD-WORKFLOW-SPEC;MD-APPROVAL-TEST
MD-APP-02,meterdesk,applied-agent,en,MD-WORKFLOW-01;MD-TOOLS-01;MD-APPROVAL-01,verified_direct,2,"Built a ticket-first billing support workbench with Next.js, FastAPI, and Postgres; the agent investigates through backend-owned tools and routes high-risk mock financial actions to human approval.",false,MD-TOOLS-TEST;MD-APPROVAL-TEST
MD-APP-03,meterdesk,applied-agent,zh,MD-TRACE-01;MD-EVAL-01,verified_direct,3,设计离线Eval Lab，对最终结果、必需证据、政策合规、审批路由和工作流终态进行确定性评分，并保留可审计Trace。,false,MD-EVAL-TEST;MD-TRACE-TEST
MD-APP-04,meterdesk,runtime,zh,MD-TOOLS-01;MD-TRACE-01,verified_direct,1,将受控工具、服务端执行边界和Trace审计模式应用到一个有业务状态和审批约束的Agent工作流。,false,MD-TOOLS-TEST;MD-TRACE-TEST
MD-BACK-01,meterdesk,ai-backend,en,MD-PYTHON-01;MD-POSTGRES-01;MD-API-01,verified_direct,1,"Implemented FastAPI service boundaries with server-owned RBAC, idempotent workflow commands, Postgres locking, and atomic workflow/approval/mutation/trace writes.",false,MD-POSTGRES-TEST;MD-POSTGRES-CONCURRENCY;MD-API-TEST
MD-BACK-02,meterdesk,ai-backend,zh,MD-PYTHON-01;MD-POSTGRES-01;MD-DOCKER-01,verified_direct,2,通过Python/FastAPI、Postgres事务和Docker Compose构建可复现后端运行基线，并用数据库并发与容器smoke验证关键路径。,false,MD-PYTHON-TEST;MD-POSTGRES-CONCURRENCY;MD-DOCKER-TEST
MD-FULL-01,meterdesk,ai-fullstack,zh,MD-FULLSTACK-01;MD-WORKFLOW-01;MD-EVAL-01,verified_direct,1,把账单调查、证据面板、审批队列和Eval Lab串成一条可运行的全栈产品路径。,false,MD-FULLSTACK-TEST;MD-WORKFLOW-TEST;MD-EVAL-TEST
MD-FULL-02,meterdesk,ai-fullstack,en,MD-FULLSTACK-01;MD-TOOLS-01,verified_direct,2,"Delivered a coherent Next.js/FastAPI/Postgres product shell where governed Agent actions, evidence, approvals, and audit state are visible in one workbench.",false,MD-FULLSTACK-TEST;MD-TOOLS-TEST
FH-RUN-01,forge-harness,runtime,zh,FH-TS-01;FH-TOOLS-01;FH-COMPLETE-01,verified_direct,1,从零实现TypeScript coding-agent Runtime：工具执行先经过allow/ask/deny策略，候选完成还必须通过CompletionGate和verifier。,false,FH-TOOLS-TEST;FH-COMPLETE-TEST
FH-RUN-02,forge-harness,runtime,en,FH-TS-01;FH-TOOLS-01;FH-COMPLETE-01,verified_direct,2,"Built a TypeScript coding-agent Runtime with explicit tool policy and verifier-gated completion, treating model output as a candidate until runtime obligations pass.",false,FH-TS-TEST;FH-COMPLETE-TEST
FH-RUN-03,forge-harness,runtime,zh,FH-CONTEXT-01;FH-TRACE-01,verified_direct,3,实现有界observation、上下文投影与重复压缩，并将Session Trace与模型当前决策视图分离。,false,FH-CONTEXT-TEST;FH-TRACE-TEST
FH-RUN-04,forge-harness,runtime,en,FH-MCP-01;FH-WORKTREE-01;FH-MULTI-01,verified_direct,4,"Implemented MCP/plugin trust, Worktree-isolated child Sessions, and teammate TaskGraph coordination with actor-owned evidence and Git receipts.",false,FH-MCP-TEST;FH-WORKTREE-TEST;FH-MULTI-TEST
FH-RUN-05,forge-harness,runtime,zh,FH-EVAL-01,verified_direct,5,构建13次模型驱动的离线行为回归套件，使用版本化baseline和非补偿式断言；保留当前compaction ordering下降的REGRESSED结果。,true,FH-EVAL-SOURCE;FH-EVAL-TEST
FH-APP-01,forge-harness,applied-agent,zh,FH-TOOLS-01;FH-COMPLETE-01;FH-TRACE-01,verified_direct,1,补充说明Agent工具权限、验证门和Trace如何约束执行过程，让业务Agent产品的治理机制可解释。,false,FH-TOOLS-TEST;FH-COMPLETE-TEST;FH-TRACE-TEST
FH-APP-02,forge-harness,applied-agent,en,FH-TOOLS-01;FH-CONTEXT-01,verified_direct,2,Added runtime-level evidence for permission-scoped tools and bounded context handling to complement MeterDesk's governed business workflow.,false,FH-TOOLS-TEST;FH-CONTEXT-TEST
FH-BACK-01,forge-harness,ai-backend,en,FH-TS-01;FH-API-01;FH-TRACE-01,verified_direct,1,"Built explicit TypeScript runtime boundaries for tool execution, session state, trace evidence, and verification without hiding orchestration behind a framework.",false,FH-TS-TEST;FH-API-TEST;FH-TRACE-TEST
FH-FULL-01,forge-harness,ai-fullstack,zh,FH-TS-01;FH-TOOLS-01,verified_direct,1,以TypeScript Runtime的执行边界和工具治理补充MeterDesk的全栈Agent产品落地。,false,FH-TS-TEST;FH-TOOLS-TEST
