sample_id,collected_at,source_type,source_detail_level,company,job_title,city,experience_raw,experience_bucket,education_raw,role_cluster,responsibilities_summary,must_have,nice_to_have,tech_tags,agent_tags,engineering_tags,meterdesk_evidence_level,meterdesk_evidence,meterdesk_gap,forge_evidence_level,forge_evidence,forge_gap,source_url,notes
A01,2026-08-10,BOSS直聘,列表正文,考试星,AI Agent 开发工程师,北京,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,使用 LangChain、Dify、Coze 搭建智能对话与业务 Agent,Agent 项目开发；主流 Agent 框架,未完整展示,Python;LangChain;Dify;Coze,工作流;多轮对话,业务落地,已验证直接证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少公开生产用户与效果指标,相邻证据,工具执行与 Agent 机制可迁移,缺少该业务场景产品层,https://www.zhipin.com/zhaopin/4bf879c1368205460nB_39q7Fg~~/,聚合页未展示完整任职要求
A02,2026-08-10,BOSS直聘,搜索摘要,华为,AI Agent 研发工程师,北京,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,面向 ToC 与内部研效场景探索并落地 Agent 产品,Agent 应用创新与工程落地,头部产品场景经验,未完整展示,场景Agent;工作流,产品交付,已验证直接证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少 ToC 或研发效能场景数据,直接实现证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,不是托管产品,https://www.zhipin.com/zhaopin/814ba6a7c776bf5a0nB729q4Fg~~/,搜索摘要可见，详情受登录墙限制
A03,2026-08-10,BOSS直聘,列表正文,灰度科技,Ai Agent 工程师,深圳,1-3年,1-3年（与0-2重叠）,硕士,AI Agent / 大模型应用,集成 LLM、规划与工具调用能力，开发具备感知、决策和执行能力的智能体,LLM 集成；规划；工具调用,未完整展示,LLM API,规划;工具调用,系统设计,已验证直接证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,学历门槛与多模态能力未覆盖,直接实现证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少真实业务产品界面,https://www.zhipin.com/zhaopin/f06fadd82645966d0nB509y9EQ~~/,聚合页未展示完整任职要求
A04,2026-08-10,BOSS直聘,列表正文,LEAPZERO,AI Agent 算法工程师,深圳,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,设计搜索总结 Agent，优化信息整合与总结效果,LLM 推理；Agent 研发,搜索场景经验,LLM,推理;Agent,效果优化,相邻证据,有政策与证据驱动的输出生成,缺少搜索算法与效果指标,相邻证据,有上下文和行为评测机制,缺少搜索业务算法,https://www.zhipin.com/zhaopin/9a7469788d34c77c03N52Nu-GA~~/,算法岗位但职责以 Agent 应用为主
A05,2026-08-10,BOSS直聘,搜索摘要,华大智造,AI Agent 应用工程师（生命科学方向）,深圳,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,与领域专家共建 Skills/MCP，完成业务流编排、提示词和数据管道优化,Skills/MCP；工作流；领域协作,生命科学数据经验,MCP,Skills;工具调用;工作流,领域落地;数据处理,直接实现证据,工具治理、业务证据和人工审批可迁移,缺少生命科学数据经验,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少生命科学领域产品,https://www.zhipin.com/zhaopin/7ab68fd5b047e9623nRy3NS0/,搜索摘要未展示完整任职要求
A06,2026-08-10,BOSS直聘,搜索摘要,智汇创想,AIAgent 开发工程师（Skill/MCP 方向）,深圳,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,建设 AI 数据中台中的 Agent 与 Skill 体系，形成对话取数、自动分析和报告生成闭环,Skill/MCP；Agent 应用开发,数据中台经验,MCP,Skill;工具调用,数据应用;报告生成,已验证直接证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少数据中台与 BI 场景,已验证直接证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少数据分析产品层,https://www.zhipin.com/zhaopin/f9254baa663f5f2b1nV-3Nu6Fg~~/,搜索摘要可见
A07,2026-08-10,BOSS直聘,列表正文,上海复生启智信息科技,AI 应用开发工程师,上海,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,完成大模型应用从 Prompt、RAG、Tool Calling、Memory 到服务化部署的端到端落地,Prompt；RAG；Tool Calling；Memory；部署,未完整展示,RAG,工具调用;记忆;Prompt,服务化部署,直接实现证据,具备工具、策略和端到端业务工作流,没有向量检索或 RAG,直接实现证据,具备工具调用、Context 与 Runtime,没有 RAG 与托管部署,https://www.zhipin.com/zhaopin/fb935b1cb5b294eb1Hd53N-9GQ~~/,聚合页未展示完整任职要求
A08,2026-08-10,BOSS直聘,搜索摘要,心核游戏,AI 应用开发工程师,上海,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,负责 LLM Agent 系统的需求分析、架构、核心实现与迭代，并建设 RAG,LLM Agent；RAG；架构设计,游戏场景经验,RAG,Agent架构,迭代优化,直接实现证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少 RAG 与游戏场景,直接实现证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少 RAG 与游戏产品,https://www.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/,搜索摘要可见
A09,2026-08-10,BOSS直聘,搜索摘要,上海瑟服科技,Python 算法工程师,上海,1-3年,1-3年（与0-2重叠）,本科,AI Agent / 大模型应用,实现智能体决策、任务规划、工具调用和 RAG 等核心算法,Python；任务规划；工具调用；RAG,算法优化经验,Python;RAG,决策;规划;工具调用,算法实现,直接实现证据,有后端确定性决策和受控规划,缺少 RAG 与算法性能实验,直接实现证据,有规划、工具和运行时机制,缺少 RAG 与算法性能实验,https://www.zhipin.com/zhaopin/41064f047c809f3f1nB809k~/,搜索摘要可见
A10,2026-08-10,BOSS直聘,搜索摘要,某汽车技术中心,AI Agents 开发工程师,上海,经验不限,经验不限,硕士,AI Agent / 大模型应用,面向汽车研发场景，基于大模型与 Agent 框架落地 Agents 应用,Agent 框架；业务落地,汽车行业经验,Agent框架,多Agent,行业落地,已验证直接证据,受治理调查工作流；工具调用与审批门；确定性决策；Trace 与 Eval Lab,缺少汽车行业数据,直接实现证据,TypeScript Agent Runtime；权限策略；Context/Trace；MCP；Worktree；多 Agent CompletionGate；离线行为回归,缺少行业产品层,https://www.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/,公司名称在聚合页未披露；因此不作公司层结论
