claim_id,project,capability_id,evidence_level,fact_zh,fact_en,limitations,forbidden,commit_sha,last_verified_at
MD-WORKFLOW-01,meterdesk,CAP-AGENT-WORKFLOW,verified_direct,MeterDesk以ticket为入口完成受治理的账单调查和决策工作流,MeterDesk runs a ticket-first governed billing investigation workflow,仅覆盖Duplicate Charge与Credit/Refund Dispute可运行路径;Usage Spike仍有覆盖缺口,不得声称通用客服聊天机器人或复杂工作流平台,f9dee13,2026-08-13
MD-TOOLS-01,meterdesk,CAP-TOOL-GOVERNANCE,verified_direct,FastAPI拥有读取决策审批和mock mutation工具边界,FastAPI owns read decision approval and mock-mutation tool boundaries,工具为产品内后端工具;MCP server并非当前实现,不得声称已有MCP server或多提供商工具网关,f9dee13,2026-08-13
MD-APPROVAL-01,meterdesk,CAP-HUMAN-IN-THE-LOOP,verified_direct,退款和credit等高风险mock mutation必须经人工审批,High-risk refund and credit mock mutations require human approval,财务动作是mock mutation且不会发送客户回复,不得声称生产支付或自动客户回复,f9dee13,2026-08-13
MD-TRACE-01,meterdesk,CAP-TRACE-AUDIT,verified_direct,运行工具政策引用审批和mock mutation写入可审计Trace,Agent runs tools policy citations approvals and mock mutations are auditable,是本地产品审计状态不是生产合规审计系统,不得声称企业级合规认证或生产审计SLA,f9dee13,2026-08-13
MD-EVAL-01,meterdesk,CAP-EVAL,verified_direct,Eval Lab对结果证据政策审批路由和终态进行确定性离线评分,Eval Lab deterministically scores outcome evidence policy approval routing and terminal state,离线场景和seeded fixture不代表真实用户效果,不得声称模型效果已在生产用户上验证,f9dee13,2026-08-13
MD-MODEL-01,meterdesk,CAP-MODEL-INTEGRATION,direct_implementation,通过OpenAI兼容provider boundary支持一个v1 live provider,Uses an OpenAI-compatible provider boundary with one live v1 provider,provider resilience仍在后续路线且demo可用seeded replay,不得声称多provider gateway或生产级容灾,f9dee13,2026-08-13
MD-PYTHON-01,meterdesk,CAP-ENGINEERING-PYTHON,verified_direct,使用FastAPI和Python构建后端API与Agent治理边界,Uses FastAPI and Python for backend APIs and Agent governance boundaries,仅以本地和CI验证为主,不得声称Python服务已有大规模线上流量,f9dee13,2026-08-13
MD-FULLSTACK-01,meterdesk,CAP-ENGINEERING-FULLSTACK,verified_direct,Next.js FastAPI Postgres组成可运行的Support Workbench,Delivers a runnable Support Workbench with Next.js FastAPI and Postgres,产品是portfolio demo且外部系统为mock,不得声称真实客服或支付系统集成,f9dee13,2026-08-13
MD-POSTGRES-01,meterdesk,CAP-POSTGRES-TRANSACTIONS,verified_direct,使用Postgres锁和事务保证审批工作流mutation与Trace一致性,Uses Postgres locks and transactions to keep approvals workflows mutations and traces consistent,当前同步执行;异步worker和crash recovery属于P0-04,不得声称已有异步worker或crash-safe recovery,f9dee13,2026-08-13
MD-API-01,meterdesk,CAP-API-SYSTEM-DESIGN,verified_direct,前端后端Agent编排mock系统与持久化边界清晰,Separates frontend backend Agent orchestration mock systems and durable state,身份是local/demo boundary且不代表企业IAM,不得声称多租户企业平台或生产身份安全,f9dee13,2026-08-13
MD-DOCKER-01,meterdesk,CAP-DOCKER-CI,verified_direct,通过Docker Compose和CI验证迁移种子健康检查和容器运行,Verifies migrations seeding health checks and container runtime with Docker Compose and CI,没有云部署和真实负载指标,不得声称Kubernetes高可用或生产规模,f9dee13,2026-08-13
MD-ASYNC-GAP-01,meterdesk,CAP-OBSERVABILITY,gap,P0-04异步Agent Runtime队列worker租约checkpoint和crash recovery尚未实现,Async Agent Runtime queue workers leases checkpoints and crash recovery are not implemented,固定提交仍为同步请求生命周期执行,不得写成已有后台执行恢复或弹性重试,f9dee13,2026-08-13
MD-RAG-GAP-01,meterdesk,CAP-RAG,gap,MeterDesk规格明确排除pgvector和大规模RAG,The MeterDesk scope explicitly excludes pgvector and large-scale RAG,当前使用显式policy text与eligibility checks,不得把policy lookup包装成RAG或向量检索,f9dee13,2026-08-13
MD-MCP-GAP-01,meterdesk,CAP-MCP,gap,MeterDesk只有MCP adapter-ready边界没有必需的MCP server,MeterDesk has an MCP-ready adapter boundary but no required MCP server,当前v1不要求真实MCP server,不得声称已接入MCP server或插件市场,f9dee13,2026-08-13
MD-CLOUD-GAP-01,meterdesk,CAP-CLOUD-PLATFORM,gap,MeterDesk没有云部署Kubernetes或真实负载指标,MeterDesk has no cloud deployment Kubernetes or real-load metrics,容器化只证明本地和CI运行,不得声称云原生高可用托管平台,f9dee13,2026-08-13
FH-TOOLS-01,forge-harness,CAP-TOOL-GOVERNANCE,verified_direct,Tool Runtime在执行前经过allow ask deny策略,The Tool Runtime applies allow ask deny policy before execution,本地Runtime且批准操作仍依赖交互,不得声称操作系统级沙箱或生产权限系统,a0146b2,2026-08-13
FH-CONTEXT-01,forge-harness,CAP-CONTEXT,verified_direct,上下文投影有界观察和重复压缩保持任务锚点,Context projection bounded observations and repeated compaction retain the task anchor,没有长期记忆或通用向量数据库,不得声称长期记忆系统或RAG平台,a0146b2,2026-08-13
FH-TRACE-01,forge-harness,CAP-TRACE-AUDIT,verified_direct,Session metadata和append-only Trace记录运行证据,Session metadata and append-only Trace record runtime evidence,Trace是本地Runtime证据不是托管可观测平台,不得声称生产级分布式可观测性平台,a0146b2,2026-08-13
FH-MCP-01,forge-harness,CAP-MCP,verified_direct,MCP adapter插件preflight和Session trust控制扩展接入,MCP adapter plugin preflight and Session trust govern extensions,使用本地fixture且插件hook是受信任进程内代码,不得声称插件市场或不受信任代码沙箱,a0146b2,2026-08-13
FH-MULTI-01,forge-harness,CAP-MULTI-AGENT,verified_direct,child Sessions teammates mailbox和TaskGraph支持多Agent协作,Child Sessions teammates mailbox and TaskGraph support multi-agent coordination,没有分布式worker或跨进程协调保证,不得声称分布式Agent平台或跨节点协调,a0146b2,2026-08-13
FH-COMPLETE-01,forge-harness,CAP-VERIFIER-COMPLETION,verified_direct,CompletionGate要求待办证据Git集成和verifier义务完成后才接受候选完成,CompletionGate accepts a candidate completion only after task evidence Git integration and verifier obligations settle,当前验证协议不等于crash-safe resume,不得声称所有模型行为均可靠或生产级完成保证,a0146b2,2026-08-13
FH-WORKTREE-01,forge-harness,CAP-WORKTREE,verified_direct,可变child和teammate任务使用Git Worktree隔离并记录source identity,Mutable child and teammate tasks use Git Worktrees and record source identity,隔离文件状态不是进程凭据网络或host权限隔离,不得声称操作系统沙箱或安全边界,a0146b2,2026-08-13
FH-EVAL-01,forge-harness,CAP-EVAL,verified_direct,13次模型驱动尝试通过版本化baseline和非补偿式规则比较行为回归,Compares 13 model-driven attempts with versioned baselines and non-compensating regression rules,当前报告结论为REGRESSED且样本不具统计显著性,不得写成回归全部通过或模型行为稳定,a0146b2,2026-08-13
FH-TS-01,forge-harness,CAP-ENGINEERING-TYPESCRIPT,verified_direct,从零实现TypeScript coding-agent Runtime和CLI,Implements a TypeScript coding-agent Runtime and CLI from scratch,教程项目不是托管服务,不得声称已有Web UI或托管控制面,a0146b2,2026-08-13
FH-API-01,forge-harness,CAP-API-SYSTEM-DESIGN,verified_direct,五层架构分离Loop治理上下文证据和协调责任,Separates loop governance context evidence and coordination through five runtime layers,架构边界服务于本地教程Runtime,不得声称完整平台架构已具备生产部署,a0146b2,2026-08-13
FH-ASYNC-GAP-01,forge-harness,CAP-OBSERVABILITY,gap,Forge Harness尚无crash-safe resume attempts reconciliation或远程worker,Forge Harness has no crash-safe resume attempts reconciliation or remote workers,当前有验证恢复但不是进程崩溃恢复,不得声称后台可靠性或分布式恢复,a0146b2,2026-08-13
FH-RAG-GAP-01,forge-harness,CAP-RAG,gap,Forge Harness边界明确排除RAG和向量数据库,Forge Harness explicitly excludes RAG and vector databases,Runtime关注执行机制不是知识库产品,不得把context projection包装成RAG,a0146b2,2026-08-13
FH-CLOUD-GAP-01,forge-harness,CAP-CLOUD-PLATFORM,gap,Forge Harness是本地CLI Runtime没有hosted control plane,Forge Harness is a local CLI Runtime without a hosted control plane,Worktree也不隔离进程凭据网络或host权限,不得声称云原生平台高可用或多租户,a0146b2,2026-08-13
FH-JAVA-GAP-01,forge-harness,CAP-JAVA-SPRING,gap,Forge Harness没有Java或Spring实现证据,Forge Harness has no Java or Spring implementation evidence,TypeScript是当前实现语言,不得声称具备Java/Spring项目经验,a0146b2,2026-08-13
